,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,policy
14026,1399892.986434896,130006996.01818538,1060500000.0,117.7047232603141,0.0001009740690457,scenario 3 policy 0
14027,724866.6613945367,130006996.01818538,1060500000.0,48.443082508893816,5.147443991340667e-05,scenario 3 policy 0
14028,13540127.799344309,130006996.01818538,1060500000.0,920.4606875383544,0.0007508116981435,scenario 3 policy 0
14029,2500914.5514993807,130006996.01818538,1060500000.0,190.63769340454087,0.0001795931733931,scenario 3 policy 0
14030,42663643.16314208,130006996.01818538,1060500000.0,3150.9793130622,0.0022106957405642,scenario 3 policy 0
14031,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14032,8810280.309470162,130006996.01818538,1060500000.0,598.9471777753389,0.0004887145369579,scenario 3 policy 0
14033,35003042.75752868,130006996.01818538,1060500000.0,1950.5408738586016,0.0078005573131165,scenario 3 policy 0
14034,1949284.5942652863,130006996.01818538,1060500000.0,133.49795342472282,0.000284269673491,scenario 3 policy 0
14035,14396693.211888157,130006996.01818538,1060500000.0,864.7634803461458,0.0006592210333882,scenario 3 policy 0
14036,56632593.1063585,130006996.01818538,1060500000.0,4101.123725722979,0.0027677122055529,scenario 3 policy 0
14037,12468084.778834246,130006996.01818538,1060500000.0,868.891415849218,0.0006647757028713,scenario 3 policy 0
14038,3518587.5882515926,130006996.01818538,1060500000.0,191.9538540032286,0.0001841355009209,scenario 3 policy 0
14039,756354.3334110364,130006996.01818538,1060500000.0,48.19056649238544,5.060295777504005e-05,scenario 3 policy 0
14040,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14041,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14042,10662277.99892903,130006996.01818538,1060500000.0,581.6851377227216,0.0023557449554515,scenario 3 policy 0
14043,5003547.306111434,130006996.01818538,1060500000.0,428.2504810453205,0.0003522038079412,scenario 3 policy 0
14044,71194735.84229147,130006996.01818538,1060500000.0,6244.01742855069,0.0039106148270639,scenario 3 policy 0
14045,18415876.416549213,130006996.01818538,1060500000.0,1413.8174474023651,0.001222871034139,scenario 3 policy 0
14046,10336169.97545486,130006996.01818538,1060500000.0,858.7813193681025,0.0006511969379991,scenario 3 policy 0
14047,98317.21205878358,130006996.01818538,1060500000.0,6.273266886558941,6.338660613705648e-06,scenario 3 policy 0
14048,243514893.55276263,130006996.01818538,1060500000.0,16669.70246401307,0.0293019900010183,scenario 3 policy 0
14049,4624281.239187088,130006996.01818538,1060500000.0,294.9205313075696,0.000249836091246,scenario 3 policy 0
14050,67047118.96151329,130006996.01818538,1060500000.0,5114.803829860903,0.0031786730650466,scenario 3 policy 0
14051,45702305.38660626,130006996.01818538,1060500000.0,3110.2336686815183,0.0020922142135272,scenario 3 policy 0
14052,17309192.271514833,130006996.01818538,1060500000.0,1104.4019382219062,0.0019427058939852,scenario 3 policy 0
14053,10319716.451882904,130006996.01818538,1060500000.0,592.2337090557537,0.0009124945139199,scenario 3 policy 0
14054,46498616.5445085,130006996.01818538,1060500000.0,4219.376742394226,0.0029894559790113,scenario 3 policy 0
14055,737267.9049645427,130006996.01818538,1060500000.0,48.07409067664704,5.020097696458982e-05,scenario 3 policy 0
14056,24060255.32233888,130006996.01818538,1060500000.0,1351.6796364270635,0.0059041912574301,scenario 3 policy 0
14057,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14058,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14059,72474213.29405116,130006996.01818538,1060500000.0,5556.504253478539,0.0036123134655362,scenario 3 policy 0
14060,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14061,18085443.41679469,130006996.01818538,1060500000.0,1256.0340718428629,0.0025244797569892,scenario 3 policy 0
14062,4013399.40308022,130006996.01818538,1060500000.0,298.244311375679,0.0002613071060405,scenario 3 policy 0
14063,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14064,724195.0971644297,130006996.01818538,1060500000.0,46.18865397540095,4.3693966316802464e-05,scenario 3 policy 0
14065,5901460.877369269,130006996.01818538,1060500000.0,567.4907382401957,0.0004324010291856,scenario 3 policy 0
14066,4256793.677060025,130006996.01818538,1060500000.0,299.2918375108003,0.000264922323518,scenario 3 policy 0
14067,69401479.73688312,130006996.01818538,1060500000.0,4654.107367809229,0.0029700556505865,scenario 3 policy 0
14068,105026313.090831,130006996.01818538,1060500000.0,5236.921870454072,0.0066487870487751,scenario 3 policy 0
14069,12053986.98205654,130006996.01818538,1060500000.0,890.659022503243,0.0006986635305556,scenario 3 policy 0
14070,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14071,930996249.2619336,130006996.01818538,1060500000.0,42995.52843861468,0.1469046321018531,scenario 3 policy 0
14072,27137095.201664805,130006996.01818538,1060500000.0,1274.8925988396234,0.002617891673501,scenario 3 policy 0
14073,793838.0514663183,130006996.01818538,1060500000.0,48.21061766635804,5.067215829630609e-05,scenario 3 policy 0
14074,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14075,2484115.122568329,130006996.01818538,1060500000.0,133.14339987360768,0.0002822011617463,scenario 3 policy 0
14076,2364354.7280530985,130006996.01818538,1060500000.0,185.9079836590546,0.000163270020431,scenario 3 policy 0
14077,41432735.03896054,130006996.01818538,1060500000.0,3911.4064289408175,0.0025743019905941,scenario 3 policy 0
14078,569629.835085532,130006996.01818538,1060500000.0,47.93794158925585,4.973109984765695e-05,scenario 3 policy 0
14079,64184709.96350467,130006996.01818538,1060500000.0,6014.259965045622,0.003687183334783,scenario 3 policy 0
14080,8040721.619672371,130006996.01818538,1060500000.0,542.4544398036362,0.0003976984846385,scenario 3 policy 0
14081,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14082,694360.9455255844,130006996.01818538,1060500000.0,46.30313952352519,4.4089078324630565e-05,scenario 3 policy 0
14083,19079311.384255342,130006996.01818538,1060500000.0,1330.4070045682088,0.0010135228397732,scenario 3 policy 0
14084,10402393.462834189,130006996.01818538,1060500000.0,902.093219502398,0.0007172937345803,scenario 3 policy 0
14085,177392755.92061523,130006996.01818538,1060500000.0,11252.91519722688,0.0073914027458532,scenario 3 policy 0
14086,12375365.42380983,130006996.01818538,1060500000.0,1282.221554032732,0.0009498055331759,scenario 3 policy 0
14087,31802368.452935237,130006996.01818538,1060500000.0,2407.237185541027,0.0022270740318811,scenario 3 policy 0
14088,683951.790923091,130006996.01818538,1060500000.0,47.527712124596185,4.831531776766858e-05,scenario 3 policy 0
14089,7241341.367241209,130006996.01818538,1060500000.0,611.9253629507339,0.0005187734360875,scenario 3 policy 0
14090,36738992.0514656,130006996.01818538,1060500000.0,2817.866128683384,0.0019844474511883,scenario 3 policy 0
14091,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14092,114420312.5293942,130006996.01818538,1060500000.0,3613.79511684902,0.0073761998601169,scenario 3 policy 0
14093,128175922.17766804,130006996.01818538,1060500000.0,9260.62185249068,0.0048155767611492,scenario 3 policy 0
14094,7413809.59999875,130006996.01818538,1060500000.0,598.9471777753389,0.0004887145369579,scenario 3 policy 0
14095,74168880.15231636,130006996.01818538,1060500000.0,5587.483259386319,0.0036431895893537,scenario 3 policy 0
14096,7530900.063535212,130006996.01818538,1060500000.0,605.8084659936252,0.0005041999420209,scenario 3 policy 0
14097,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14098,77742406.68009612,130006996.01818538,1060500000.0,6044.724735558148,0.003716803725942,scenario 3 policy 0
14099,4391429.415489608,130006996.01818538,1060500000.0,303.4757524120968,0.0002793618317731,scenario 3 policy 0
14100,9167019.299824689,130006996.01818538,1060500000.0,918.198190334663,0.0007460505053499,scenario 3 policy 0
14101,0.0,130006996.01818538,1060500000.0,0.0,0.0,scenario 3 policy 0
14102,655261.1433849839,130006996.01818538,1060500000.0,47.77072188985999,4.915399197457393e-05,scenario 3 policy 0
14103,53386780.21152482,130006996.01818538,1060500000.0,3838.454014660328,0.0056444605798422,scenario 3 policy 0
